Timestamp,Speed,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,ServingCell_Distance
2017.12.01_21.56.28,2,-105,-13,4,8,-90,76,16,706.91
2017.12.01_21.56.33,2,-105,-10,4,8,-88,4039,153,706.91
2017.12.01_21.56.34,2,-105,-10,4,7,-88,13051,302,706.91
2017.12.01_21.56.35,2,-105,-13,9,8,-80,10300,191,706.91
2017.12.01_21.56.37,2,-105,-13,2,8,-80,9405,178,706.91
2017.12.01_21.56.38,2,-98,-13,5,6,-87,17055,314,706.91
2017.12.01_21.56.39,2,-98,-13,7,7,-90,12705,235,706.91
2017.12.01_21.56.40,2,-107,-14,3,7,-84,5726,148,706.91
2017.12.01_21.56.41,2,-107,-14,3,7,-82,9059,196,706.91
2017.12.01_21.56.42,2,-99,-13,2,7,-82,6844,151,706.91
2017.12.01_21.56.43,2,-99,-13,2,7,-82,6945,128,706.91
2017.12.01_21.56.44,2,-100,-12,1,7,-82,8745,161,706.91
2017.12.01_21.56.46,2,-100,-12,1,8,-87,7459,158,706.91
2017.12.01_21.56.47,2,-101,-14,0,8,-84,1263,24,706.91
2017.12.01_21.56.48,2,-101,-14,0,8,-84,6676,124,706.91
2017.12.01_21.56.49,2,-101,-14,0,8,-88,3914,73,706.91
2017.12.01_21.56.50,2,-101,-14,0,8,-88,5077,94,706.91
2017.12.01_21.56.51,2,-104,-14,0,8,-88,5755,110,706.91
2017.12.01_21.56.52,2,-104,-14,0,9,-85,3388,63,706.91
2017.12.01_21.56.53,2,-101,-14,0,9,-85,5927,110,706.91
2017.12.01_21.56.54,2,-101,-14,0,9,-85,13644,307,706.91
2017.12.01_21.56.56,2,-102,-14,1,9,-85,14528,269,706.91
2017.12.01_21.56.57,2,-102,-14,1,9,-83,7291,139,706.91
2017.12.01_21.56.58,2,-100,-14,0,9,-83,3444,111,706.91
2017.12.01_21.56.59,2,-100,-14,0,6,-87,4428,84,706.91
2017.12.01_21.57.00,2,-104,-15,1,6,-87,5178,96,706.91
2017.12.01_21.57.01,2,-104,-15,1,8,-84,3601,67,706.91
2017.12.01_21.57.02,2,-103,-15,-1,6,-80,4484,84,706.91
2017.12.01_21.57.03,2,-103,-15,-1,7,-84,3288,94,706.91
2017.12.01_21.57.05,2,-101,-16,-1,7,-84,4160,79,706.91
2017.12.01_21.57.06,2,-101,-16,-1,6,-87,10356,192,706.91
2017.12.01_21.57.07,2,-104,-16,-2,8,-76,11843,219,706.91
2017.12.01_21.57.08,2,-104,-16,-2,6,-80,3233,68,706.91
2017.12.01_21.57.09,2,-102,-15,0,7,-85,9893,230,706.91
2017.12.01_21.57.10,2,-102,-15,0,7,-83,11541,216,706.91
2017.12.01_21.57.11,2,-102,-16,-1,7,-85,8723,209,706.91
2017.12.01_21.57.12,2,-102,-16,-1,5,-88,2740,51,706.91
2017.12.01_21.57.13,2,-105,-16,0,7,-80,3992,74,706.91
2017.12.01_21.57.15,2,-105,-16,0,8,-78,6878,126,706.91
2017.12.01_21.57.16,2,-95,-15,0,6,-82,9126,219,706.91
2017.12.01_21.57.17,2,-95,-15,0,6,-82,11374,249,706.91
2017.12.01_21.57.18,2,-98,-14,0,7,-80,2449,46,706.91
2017.12.01_21.57.19,2,-98,-14,0,7,-80,1588,67,706.91
2017.12.01_21.57.20,2,-94,-13,2,6,-77,7974,148,706.91
