Timestamp,Speed,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,ServingCell_Distance
2017.12.03_10.09.56,0,-121,-17,-7,5,-94,3153,85,928.09
2017.12.03_10.09.56,0,-121,-17,-7,5,-94,2717,50,928.09
2017.12.03_10.09.57,0,-119,-17,-7,6,-94,2784,52,928.09
2017.12.03_10.09.58,0,-119,-17,-7,6,-94,1923,36,928.09
2017.12.03_10.10.00,0,-119,-17,-7,6,-94,1845,69,928.09
2017.12.03_10.10.01,0,-119,-17,-7,6,-94,1073,19,928.09
2017.12.03_10.10.02,0,-119,-17,-7,6,-94,2829,52,928.09
2017.12.03_10.10.03,0,-119,-17,-7,6,-94,1364,53,928.09
2017.12.03_10.10.04,0,-119,-17,-7,6,-94,1845,37,928.09
2017.12.03_10.10.05,0,-119,-17,-7,6,-94,1487,27,928.09
2017.12.03_10.10.06,0,-119,-17,-6,6,-94,2348,43,928.09
2017.12.03_10.10.07,0,-119,-17,-6,6,-94,973,28,928.09
2017.12.03_10.10.08,0,-119,-17,-6,6,-94,2594,61,928.09
2017.12.03_10.10.10,0,-119,-17,-6,6,-94,1767,33,928.09
2017.12.03_10.10.11,0,-120,-18,-6,6,-94,1006,42,928.09
2017.12.03_10.10.12,0,-120,-18,-6,6,-94,1163,25,928.09
2017.12.03_10.10.13,0,-119,-17,-6,6,-94,1364,25,928.09
2017.12.03_10.10.14,0,-119,-17,-6,6,-94,1621,30,928.09
2017.12.03_10.10.15,0,-118,-17,-6,6,-94,794,17,928.09
2017.12.03_10.10.16,0,-118,-17,-6,7,-94,1353,43,928.09
2017.12.03_10.10.17,0,-119,-18,-6,7,-94,391,13,928.09
2017.12.03_10.10.18,0,-119,-18,-6,7,-94,816,31,928.09
2017.12.03_10.10.20,0,-120,-17,-5,7,-94,838,29,928.09
2017.12.03_10.10.21,0,-120,-17,-5,7,-94,1207,26,928.09
2017.12.03_10.10.22,0,-118,-17,-5,7,-94,782,18,928.09
2017.12.03_10.10.23,0,-118,-17,-5,7,-94,1386,26,928.09
2017.12.03_10.10.24,0,-120,-18,-6,7,-94,1588,30,928.09
2017.12.03_10.10.25,0,-120,-18,-6,7,-94,1822,34,928.09
2017.12.03_10.10.26,0,-121,-17,-5,6,-94,1453,27,928.09
2017.12.03_10.10.27,0,-121,-17,-5,6,-94,2315,43,928.09
2017.12.03_10.10.28,0,-120,-17,-5,6,-94,3165,59,928.09
2017.12.03_10.10.29,0,-120,-17,-5,6,-94,3019,56,928.09
2017.12.03_10.10.31,0,-119,-17,-5,6,-94,3658,70,928.09
2017.12.03_10.10.32,0,-119,-17,-5,6,-94,2886,57,928.09
2017.12.03_10.10.33,0,-120,-18,-5,6,-94,671,30,928.09
2017.12.03_10.10.34,0,-120,-18,-5,6,-94,2303,105,928.09
2017.12.03_10.10.35,0,-119,-17,-4,6,-94,2583,48,928.09
2017.12.03_10.10.36,0,-119,-17,-4,6,-94,3847,72,928.09
2017.12.03_10.10.37,0,-118,-18,-5,6,-94,3781,70,928.09
2017.12.03_10.10.38,0,-118,-18,-5,6,-94,1733,34,928.09
2017.12.03_10.10.39,0,-119,-17,-5,6,-94,995,22,928.09
2017.12.03_10.10.41,0,-119,-17,-5,6,-94,1890,97,928.09
2017.12.03_10.10.42,0,-119,-17,-5,6,-94,1308,61,928.09
2017.12.03_10.10.43,0,-119,-17,-5,6,-94,995,45,928.09
2017.12.03_10.10.44,0,-119,-17,-5,6,-94,2460,110,928.09
2017.12.03_10.10.45,0,-119,-17,-5,6,-94,917,40,928.09
2017.12.03_10.10.46,0,-118,-18,-5,6,-94,1621,66,928.09
2017.12.03_10.10.47,0,-118,-18,-5,6,-94,1789,60,928.09
2017.12.03_10.10.48,0,-119,-17,-5,6,-94,1610,57,928.09
2017.12.03_10.10.49,0,-119,-17,-5,6,-94,1129,21,928.09
2017.12.03_10.10.51,0,-119,-17,-5,6,-94,1800,34,928.09
2017.12.03_10.10.52,0,-119,-17,-5,6,-94,805,29,928.09
2017.12.03_10.10.53,0,-120,-18,-5,6,-94,2192,46,928.09
2017.12.03_10.10.54,0,-120,-18,-5,6,-94,2281,42,928.09
2017.12.03_10.10.55,0,-120,-16,-2,6,-94,2348,43,928.09
2017.12.03_10.10.56,0,-120,-16,-2,6,-94,2594,48,928.09
2017.12.03_10.10.57,0,-119,-17,-2,6,-94,2617,48,928.09
2017.12.03_10.10.58,0,-119,-17,-2,6,-94,4641,90,928.09
2017.12.03_10.10.59,0,-120,-16,-2,6,-94,3355,62,928.09
2017.12.03_10.11.01,0,-120,-16,-2,6,-94,2594,48,928.09
2017.12.03_10.11.02,0,-120,-16,0,6,-94,4015,74,928.09
2017.12.03_10.11.03,0,-120,-16,0,6,-94,4674,86,928.09
2017.12.03_10.11.04,0,-120,-15,0,6,-94,2494,91,928.09
2017.12.03_10.11.05,0,-120,-15,0,6,-94,3198,110,928.09
2017.12.03_10.11.06,0,-120,-16,-1,6,-94,2617,49,928.09
2017.12.03_10.11.07,0,-120,-16,-1,6,-94,1588,30,928.09
2017.12.03_10.11.08,0,-120,-17,-3,6,-94,3109,60,928.09
2017.12.03_10.11.09,0,-120,-17,-3,6,-94,3109,58,928.09
2017.12.03_10.11.11,0,-120,-15,-1,6,-94,2080,80,928.09
2017.12.03_10.11.12,0,-120,-15,-1,6,-94,2147,40,928.09
2017.12.03_10.11.13,0,-120,-16,-1,6,-94,3545,71,928.09
2017.12.03_10.11.14,0,-120,-16,-1,6,-94,861,22,928.09
2017.12.03_10.11.15,0,-119,-16,-1,6,-94,3834,130,928.09
2017.12.03_10.11.16,0,-119,-16,-1,6,-94,2038,38,928.09
2017.12.03_10.11.17,0,-120,-16,-1,6,-94,2367,71,928.09
2017.12.03_10.11.18,0,-120,-16,-1,6,-94,1521,28,928.09
2017.12.03_10.11.19,0,-120,-17,-4,6,-94,3332,62,928.09
2017.12.03_10.11.21,0,-120,-17,-4,6,-94,3344,65,928.09
2017.12.03_10.11.22,0,-119,-17,-4,6,-94,2684,50,928.09
2017.12.03_10.11.23,0,-119,-17,-4,6,-94,5211,96,928.09
2017.12.03_10.11.24,0,-119,-17,-3,6,-94,7851,146,928.09
2017.12.03_10.11.25,0,-119,-17,-3,6,-94,3042,56,928.09
2017.12.03_10.11.26,0,-119,-15,-1,6,-94,3467,127,928.09
2017.12.03_10.11.27,0,-119,-15,-1,6,-94,4730,88,928.09
2017.12.03_10.11.28,0,-119,-14,-2,6,-94,3936,73,928.09
2017.12.03_10.11.30,0,-119,-14,-2,6,-94,7191,133,928.09
2017.12.03_10.11.31,0,-119,-15,-2,6,-94,3746,69,928.09
2017.12.03_10.11.32,0,-119,-15,-2,6,-94,4283,79,928.09
2017.12.03_10.11.33,0,-118,-15,-1,6,-94,4015,74,928.09
2017.12.03_10.11.34,0,-118,-15,-1,6,-94,3053,56,928.09
2017.12.03_10.11.35,0,-118,-15,-1,6,-94,4753,88,928.09
2017.12.03_10.11.36,0,-118,-15,-1,6,-94,3120,58,928.09
2017.12.03_10.11.37,0,-119,-14,-1,6,-94,3455,64,928.09
2017.12.03_10.11.39,0,-119,-14,-1,6,-94,4082,76,928.09
2017.12.03_10.11.40,0,-120,-15,0,6,-94,2348,47,928.09
2017.12.03_10.11.41,0,-120,-15,0,6,-94,1890,34,928.09
2017.12.03_10.11.42,0,-118,-17,-2,6,-94,2192,114,928.09
2017.12.03_10.11.43,0,-118,-17,-2,6,-94,2997,149,928.09
2017.12.03_10.11.44,0,-119,-18,-2,6,-94,1028,50,928.09
2017.12.03_10.11.45,0,-119,-18,-2,6,-94,1789,97,928.09
2017.12.03_10.11.46,0,-120,-15,-4,6,-94,0,0,928.09
2017.12.03_10.11.48,0,-120,-15,-4,6,-94,134,6,928.09
2017.12.03_10.11.49,0,-120,-17,-4,6,-94,2283,79,928.09
2017.12.03_10.11.50,0,-120,-17,-4,6,-94,3790,72,928.09
2017.12.03_10.11.51,0,-118,-17,-2,6,-94,2686,102,928.09
2017.12.03_10.11.52,0,-118,-17,-2,6,-94,3072,104,928.09
2017.12.03_10.11.53,0,-120,-17,-2,6,-94,2718,90,928.09
2017.12.03_10.11.54,0,-120,-17,-2,6,-94,2696,105,928.09
2017.12.03_10.11.55,0,-119,-17,-3,6,-94,2843,55,928.09
2017.12.03_10.11.56,0,-119,-17,-3,6,-94,2384,50,928.09
2017.12.03_10.11.58,0,-119,-17,-4,6,-94,2979,80,928.09
2017.12.03_10.11.59,0,-119,-17,-4,6,-94,760,38,928.09
2017.12.03_10.12.00,0,-119,-17,-5,6,-94,1901,93,928.09
2017.12.03_10.12.01,0,-119,-17,-5,6,-94,1576,76,928.09
2017.12.03_10.12.02,0,-120,-17,-5,6,-94,1811,85,928.09
2017.12.03_10.12.03,0,-120,-17,-5,6,-94,1946,46,928.09
2017.12.03_10.12.04,0,-120,-17,-4,6,-94,1677,74,928.09
2017.12.03_10.12.05,0,-120,-17,-4,6,-94,380,7,928.09
2017.12.03_10.12.06,0,-118,-17,-4,6,-94,0,0,928.09
2017.12.03_10.12.07,0,-118,-17,-4,6,-94,2986,55,928.09
2017.12.03_10.12.09,0,-118,-17,-3,6,-94,1755,32,928.09
2017.12.03_10.12.10,0,-118,-17,-3,6,-94,1576,75,928.09
2017.12.03_10.12.11,0,-119,-17,-4,6,-94,1923,55,928.09
