Timestamp,Speed,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,ServingCell_Distance
2017.12.14_07.31.06,33,-83,-12,10,9,-66,9001,188,402.79
2017.12.14_07.31.06,33,-83,-12,9,9,-66,22936,409,402.79
2017.12.14_07.31.07,33,-83,-12,9,14,-62,17525,353,402.79
2017.12.14_07.31.08,33,-79,-10,18,14,-70,14293,285,402.79
2017.12.14_07.31.09,33,-79,-10,18,14,-70,16966,307,402.79
2017.12.14_07.31.11,33,-88,-10,18,14,-70,9719,209,402.79
2017.12.14_07.31.12,33,-88,-10,18,12,-72,14874,272,402.79
2017.12.14_07.31.13,33,-89,-10,18,11,-75,16429,297,402.79
2017.12.14_07.31.14,33,-89,-10,18,12,-71,17379,312,402.79
2017.12.14_07.31.15,33,-88,-9,19,12,-71,14629,272,402.79
2017.12.14_07.31.16,33,-88,-9,19,12,-71,18498,334,402.79
2017.12.14_07.31.17,33,-89,-10,16,14,-73,20511,373,402.79
2017.12.14_07.31.18,33,-89,-10,16,12,-75,23889,443,402.79
2017.12.14_07.31.19,33,-92,-11,18,12,-75,26707,533,402.79
2017.12.14_07.31.21,33,-92,-11,18,12,-75,18565,362,402.79
2017.12.14_07.31.22,33,-83,-8,19,10,-75,19683,359,402.79
2017.12.14_07.31.23,33,-83,-8,21,15,-70,20556,378,402.79
2017.12.14_07.31.24,33,-87,-10,20,15,-72,20846,376,402.79
2017.12.14_07.31.25,33,-87,-10,20,15,-72,22535,411,402.79
2017.12.14_07.31.26,33,-90,-10,22,12,-80,24280,448,402.79
2017.12.14_07.31.27,33,-90,-10,22,11,-69,23792,442,402.79
2017.12.14_07.31.28,33,-86,-9,21,12,-73,30107,553,402.79
2017.12.14_07.31.29,33,-86,-9,21,12,-78,30934,624,402.79
2017.12.14_07.31.30,33,-95,-11,19,14,-76,23743,480,402.79
2017.12.14_07.31.32,33,-95,-11,19,15,-68,19393,354,402.79
2017.12.14_07.31.33,33,-85,-9,21,12,-72,15355,302,402.79
2017.12.14_07.31.34,33,-85,-9,21,12,-75,17145,314,402.79
2017.12.14_07.31.35,33,-92,-7,23,14,-77,17424,313,402.79
2017.12.14_07.31.36,33,-92,-7,23,14,-77,18677,337,402.79
2017.12.14_07.31.37,33,-94,-8,23,15,-75,19829,358,402.79
2017.12.14_07.31.38,33,-94,-8,23,15,-75,21663,393,402.79
2017.12.14_07.31.39,33,-91,-9,22,15,-75,22457,449,402.79
2017.12.14_07.31.40,33,-91,-9,22,15,-71,16485,301,402.79
2017.12.14_07.31.41,33,-88,-8,22,12,-73,21998,403,402.79
2017.12.14_07.31.43,33,-88,-8,22,12,-70,24649,454,402.79
2017.12.14_07.31.44,33,-88,-9,21,12,-70,24146,440,402.79
2017.12.14_07.31.45,33,-88,-9,21,12,-72,23676,464,402.79
2017.12.14_07.31.46,33,-89,-8,22,13,-70,17916,361,402.79
2017.12.14_07.31.47,33,-89,-8,22,12,-73,15937,289,402.79
2017.12.14_07.31.48,33,-90,-9,22,12,-73,17961,325,402.79
2017.12.14_07.31.49,33,-90,-9,22,13,-76,18431,333,402.79
2017.12.14_07.31.50,33,-93,-9,20,10,-78,15926,293,402.79
2017.12.14_07.31.52,33,-93,-9,20,11,-76,10759,201,402.79
2017.12.14_07.31.53,33,-93,-12,17,11,-73,21204,390,402.79
2017.12.14_07.31.54,33,-93,-12,17,12,-76,25890,480,402.79
2017.12.14_07.31.55,33,-93,-9,18,12,-74,30867,558,402.79
2017.12.14_07.31.56,33,-93,-9,18,12,-74,22882,416,402.79
2017.12.14_07.31.57,33,-94,-12,19,12,-74,25980,467,402.79
2017.12.14_07.31.58,33,-94,-12,19,11,-80,30051,543,402.79
2017.12.14_07.31.59,33,-97,-12,17,11,-77,33127,809,402.79
2017.12.14_07.32.00,33,-97,-12,17,15,-75,40855,999,402.79
2017.12.14_07.32.01,33,-92,-10,19,15,-75,9841,199,402.79
2017.12.14_07.32.02,33,-92,-10,19,15,-78,33361,593,402.79
2017.12.14_07.32.04,33,-95,-11,16,15,-78,29067,596,402.79
2017.12.14_07.32.05,33,-95,-11,16,15,-78,28206,507,402.79
2017.12.14_07.32.06,33,-93,-11,18,12,-76,20594,471,402.79
2017.12.14_07.32.07,33,-93,-11,18,14,-78,16574,303,402.79
2017.12.14_07.32.08,33,-95,-8,18,15,-76,19370,352,402.79
2017.12.14_07.32.09,33,-95,-8,18,12,-78,19605,354,402.79
2017.12.14_07.32.10,33,-95,-9,19,12,-80,21563,384,402.79
2017.12.14_07.32.11,33,-95,-9,19,12,-80,15556,286,402.79
2017.12.14_07.32.12,33,-98,-11,16,12,-80,19639,357,402.79
2017.12.14_07.32.13,60,-98,-11,16,12,-80,19639,357,701.78
2017.12.14_07.32.13,60,-98,-11,16,11,-82,20321,364,701.78
2017.12.14_07.32.15,60,-99,-11,15,9,-84,19672,361,701.78
2017.12.14_07.32.16,60,-99,-11,12,9,-86,16921,311,701.78
2017.12.14_07.32.17,60,-103,-12,12,8,-88,9875,183,701.78
2017.12.14_07.32.18,60,-103,-12,12,8,-92,12805,236,701.78
2017.12.14_07.32.19,60,-108,-9,-4,6,-91,6028,113,701.78
2017.12.14_07.32.20,60,-108,-9,-4,11,-86,22748,590,701.78
2017.12.14_07.32.21,60,-103,-11,5,8,-92,11553,212,701.78
2017.12.14_07.32.23,60,-103,-11,5,8,-92,8947,164,701.78
2017.12.14_07.32.24,60,-109,-12,6,5,-94,10893,202,701.78
2017.12.14_07.32.25,60,-109,-12,6,5,-94,10591,196,701.78
2017.12.14_07.32.26,60,-112,-13,6,7,-92,14438,267,701.78
2017.12.14_07.32.27,60,-112,-13,6,7,-94,11922,219,701.78
2017.12.14_07.32.28,60,-112,-12,6,7,-94,9741,180,701.78
2017.12.14_07.32.29,60,-112,-12,6,7,-94,9394,173,701.78
2017.12.14_07.32.30,60,-112,-13,6,7,-94,6117,113,701.78
2017.12.14_07.32.31,60,-112,-13,6,10,85,1599,74,701.78
2017.12.14_07.32.32,60,-98,-8,4,11,-84,52285,1228,2230.41
