Time,Min,CPU_Frequency,Memory Usage,Wi-Fi RSSI Level,Screen Bright,Quality,Battery
30010,00:00:30,839000,1823656,-62,25,360,93
60041,00:01:00,1586000,1810272,-64,25,360,93
90005,00:01:30,546000,1825020,-62,25,360,93
120037,00:02:00,546000,1814308,-64,25,360,93
150008,00:02:30,676000,1814552,-63,25,360,93
180033,00:03:00,546000,1824760,-66,25,360,93
210018,00:03:30,676000,1824196,-60,25,360,93
240041,00:04:00,1248000,1823476,-60,25,360,93
270019,00:04:30,676000,1818812,-69,25,360,93
300039,00:05:00,676000,1801404,-57,25,360,92
330015,00:05:30,676000,1793808,-57,125,360,92
360052,00:06:00,902000,1794472,-57,125,360,92
390023,00:06:30,1248000,1805492,-57,125,360,92
420058,00:07:00,676000,1825640,-57,125,360,92
450023,00:07:30,757000,1776792,-57,125,360,92
480054,00:08:00,676000,1807464,-57,125,360,92
510017,00:08:30,839000,1794072,-57,125,360,92
540030,00:09:00,546000,1794368,-57,125,360,92
570012,00:09:30,676000,1822972,-57,125,360,92
600037,00:10:00,546000,1822340,-57,125,360,92
630020,00:10:30,676000,1809088,-68,255,360,92
660042,00:11:00,546000,1811936,-60,255,360,92
690020,00:11:30,1352000,1807524,-60,255,360,91
720038,00:12:00,546000,1813716,-64,255,360,91
750060,00:12:30,676000,1778336,-60,255,360,91
780030,00:13:00,902000,1808768,-64,255,360,91
810062,00:13:30,1014000,1812460,-63,255,360,91
840034,00:14:00,1586000,1809396,-74,255,360,91
870056,00:14:30,546000,1797616,-54,255,360,91
900044,00:15:00,546000,1821948,-65,255,360,91
930027,00:15:30,676000,1796272,-62,59,360,91
960048,00:16:00,676000,1809780,-62,59,360,91
990027,00:16:30,1352000,1786272,-65,59,360,91
1020052,00:17:00,902000,1760596,-56,59,360,90
1050049,00:17:30,546000,1823764,-56,59,360,90
1080066,00:18:00,676000,1809416,-56,59,360,90
1110037,00:18:30,546000,1790912,-56,59,360,90
1140061,00:19:00,1586000,1814568,-56,59,360,90
1170041,00:19:30,546000,1801428,-56,59,360,90
1200061,00:20:00,1248000,1822000,-56,59,360,90
1230037,00:20:30,676000,1773896,-56,59,360,90
1260068,00:21:00,757000,1799140,-56,255,360,90
1290040,00:21:30,757000,1823996,-56,255,360,90
1320063,00:22:00,676000,1783836,-56,255,360,90
1350033,00:22:30,546000,1810500,-56,255,360,90
1380060,00:23:00,902000,1819900,-56,255,360,90
1410029,00:23:30,839000,1824984,-56,255,360,89
1440054,00:24:00,676000,1799632,-66,255,360,89
1470032,00:24:30,676000,1785460,-61,255,360,89
1500052,00:25:00,676000,1781068,-67,255,360,89
1530029,00:25:30,676000,1821072,-62,255,360,89
1560057,00:26:00,676000,1805164,-64,255,360,89
1590038,00:26:30,1248000,1803548,-62,255,360,89
1620066,00:27:00,757000,1796904,-69,255,360,89
1650038,00:27:30,1586000,1827552,-62,255,360,89
1680052,00:28:00,839000,1820256,-62,255,360,89
1710070,00:28:30,546000,1822624,-65,255,360,88
1740048,00:29:00,546000,1818652,-56,255,360,88
1770071,00:29:30,676000,1808056,-56,255,360,88
1800045,00:30:00,546000,1811748,-66,255,360,88
1830075,00:30:30,1014000,1804828,-63,255,360,88
1860032,00:31:00,902000,1800976,-66,255,360,88
1890063,00:31:30,1144000,1823488,-61,255,360,88
1920042,00:32:00,676000,1775888,-68,255,360,88
1950068,00:32:30,1586000,1804632,-61,255,360,88
1980030,00:33:00,1586000,1809024,-70,255,360,88
2010066,00:33:30,546000,1788748,-62,255,360,88
2040043,00:34:00,902000,1804672,-62,255,360,88
2070065,00:34:30,546000,1799076,-62,255,360,87
2100046,00:35:00,1586000,1825152,-62,255,360,87
2130068,00:35:30,1586000,1853744,-62,255,360,87
2160048,00:36:00,1144000,1821384,-62,255,360,87
2190043,00:36:30,546000,1806388,-68,255,360,87
2220075,00:37:00,1586000,1824944,-58,255,360,87
2250050,00:37:30,757000,1806812,-66,255,360,87
2280071,00:38:00,1248000,1824172,-66,255,360,87
2310069,00:38:30,902000,1766372,-62,255,360,87
2340043,00:39:00,1586000,1789680,-68,255,360,87
2370060,00:39:30,902000,1825072,-60,255,360,87
2400034,00:40:00,546000,1802012,-64,255,360,87
2430069,00:40:30,902000,1825700,-62,255,360,86
2460049,00:41:00,676000,1798264,-75,255,360,86
2490083,00:41:30,546000,1816956,-74,255,360,86
2520060,00:42:00,757000,1794544,-75,255,360,86
2550087,00:42:30,676000,1825728,-74,255,360,86
2580073,00:43:00,902000,1789516,-76,255,360,86
2610054,00:43:30,757000,1789144,-76,255,360,86
2640076,00:44:00,676000,1791436,-83,255,360,86
2670053,00:44:30,676000,1783036,-80,255,360,86
2700074,00:45:00,1586000,1787352,-74,15,720,86
2730044,00:45:30,676000,1816744,-59,15,720,86
2760065,00:46:00,546000,1818544,-59,15,720,86
2790041,00:46:30,902000,1808944,-64,15,720,85
2820079,00:47:00,676000,1801216,-63,15,720,85
2850056,00:47:30,546000,1800116,-64,15,720,85
2880074,00:48:00,839000,1793296,-63,15,720,85
2910046,00:48:30,902000,1808624,-63,15,720,85
2940070,00:49:00,902000,1815596,-65,15,720,85
2970046,00:49:30,1586000,1794844,-59,15,720,85
3000058,00:50:00,546000,1825788,-64,15,720,85
3030087,00:50:30,546000,1812260,-63,15,720,85
3060079,00:51:00,1586000,1821008,-63,15,720,85
3090054,00:51:30,1586000,1808848,-64,15,720,85
3120084,00:52:00,1586000,1818776,-63,15,720,85
3150073,00:52:30,676000,1801800,-66,15,720,85
3180051,00:53:00,676000,1817892,-60,15,720,85
3210073,00:53:30,1586000,1812796,-64,15,720,85
3240049,00:54:00,676000,1798824,-63,15,720,84
3270074,00:54:30,676000,1803872,-64,15,720,84
3300095,00:55:00,902000,1794888,-64,15,720,84
3330077,00:55:30,757000,1804056,-58,135,720,84
3360063,00:56:00,1586000,1815012,-70,135,720,84
3390073,00:56:30,546000,1824672,-57,135,720,84
3420088,00:57:00,676000,1805444,-65,135,720,84
3450071,00:57:30,546000,1823132,-62,135,720,84
3480060,00:58:00,676000,1806124,-62,135,720,84
3510077,00:58:30,1248000,1818976,-62,135,720,84
3540070,00:59:00,676000,1793748,-62,135,720,84
3570051,00:59:30,676000,1825092,-69,135,720,84
3600073,01:00:00,676000,1810368,-60,135,720,84
3630056,01:00:30,1248000,1824708,-60,255,720,83
3660087,01:01:00,546000,1823288,-68,255,720,83
3690069,01:01:30,676000,1786860,-63,255,720,83
3720054,01:02:00,1586000,1773412,-64,255,720,83
3750082,01:02:30,839000,1778488,-64,255,720,83
