Time,Memory Usage,CPU Frequency,CPU Load,Wi-Fi RSSI Level,Screen Bright,Battery,Download,Upload,Quality
0,1824244,1144000,44,-61,3,79,456,17,360
10,1812244,1586000,44,-67,3,79,456,17,360
20,1828204,1586000,44,-63,3,79,456,17,360
30,1794804,1586000,44,-63,3,79,456,17,360
40,1816568,1586000,44,-65,3,79,456,17,360
50,1781596,1586000,44,-60,3,79,456,17,360
60,1823864,1144000,44,-60,3,79,456,17,360
70,1806756,1586000,44,-60,3,79,456,17,360
80,1821872,839000,44,-65,3,79,456,17,360
90,1805176,1586000,44,-59,3,79,456,17,360
100,1822904,1586000,44,-59,3,79,456,17,360
110,1810224,1586000,44,-65,3,79,456,17,360
120,1790844,1586000,44,-63,3,79,456,17,360
130,1818592,1586000,44,-63,3,79,456,17,360
140,1843640,1586000,44,-66,3,79,456,17,360
150,1816888,902000,44,-61,3,79,456,17,360
160,1825108,1586000,44,-61,3,79,456,17,360
170,1824324,1586000,44,-61,3,79,456,17,360
180,1775696,1586000,44,-71,3,79,456,17,360
190,1803452,1586000,44,-62,3,79,456,17,360
200,1794920,1586000,44,-66,3,79,456,17,360
210,1824520,1586000,44,-59,3,79,456,17,360
220,1811024,1586000,44,-59,3,79,456,17,360
230,1816344,1586000,44,-59,3,79,456,17,360
240,1790760,1586000,44,-59,3,78,456,17,360
250,1808476,1586000,44,-64,3,78,456,17,360
260,1817076,1586000,44,-61,3,78,456,17,360
270,1810524,1586000,44,-61,3,78,456,17,360
280,1824372,1248000,44,-64,3,78,456,17,360
290,1776328,1586000,44,-63,3,78,456,17,360
300,1788184,1586000,44,-63,3,78,456,17,360
310,1823772,1586000,44,-63,3,78,456,17,360
320,1824416,1586000,44,-63,3,78,456,17,360
330,1789292,1586000,44,-63,3,78,456,17,360
340,1818152,1586000,44,-63,3,78,456,17,360
350,1825828,1586000,44,-63,3,78,456,17,360
360,1823748,1586000,44,-64,3,78,456,17,360
370,1817264,1586000,44,-63,3,78,456,17,360
380,1804912,1586000,44,-65,3,78,456,17,360
390,1818348,1586000,44,-59,3,78,456,17,360
