Date,Frequency,WiFiState,RSSIlevel,ScreenState,Battery
33,546000,3,-44,255,86
133,902000,3,-44,255,86
233,1586000,3,-44,255,86
334,1586000,3,-44,255,86
434,1586000,3,-44,255,86
534,1586000,3,-44,255,86
635,1586000,3,-44,255,86
736,1586000,3,-44,255,86
836,1586000,3,-44,255,86
936,1586000,3,-44,255,86
1037,1586000,3,-44,255,86
1137,1586000,3,-44,255,86
1237,1586000,3,-44,255,86
1338,1586000,3,-44,255,86
1438,1482000,3,-44,255,86
1539,1586000,3,-44,255,86
1640,1586000,3,-44,255,86
1741,1586000,3,-44,255,86
1842,1586000,3,-44,255,86
1943,676000,3,-44,255,86
2044,546000,3,-44,255,86
2144,902000,3,-44,255,86
2245,1352000,3,-44,255,86
2345,1586000,3,-44,255,86
2452,1586000,3,-44,255,86
2546,1586000,3,-44,255,86
2646,1586000,3,-44,255,86
2750,1586000,3,-44,255,86
2850,1586000,3,-44,255,86
2951,1586000,3,-44,255,86
3051,1586000,3,-44,255,86
3152,1586000,3,-44,255,86
3252,1586000,3,-44,255,86
3352,1352000,3,-44,255,86
3453,1352000,3,-44,255,86
3553,1352000,3,-44,255,86
3654,1352000,3,-44,255,86
3754,1352000,3,-44,255,86
3854,1352000,3,-44,255,86
3955,1352000,3,-44,255,86
4055,1144000,3,-44,255,86
4156,757000,3,-44,255,86
4257,1014000,3,-44,255,86
4357,1352000,3,-44,255,86
4457,1586000,3,-44,255,86
4559,546000,3,-44,255,86
4659,1248000,3,-44,255,86
4759,1014000,3,-44,255,86
4860,1248000,3,-44,255,86
4960,1248000,3,-44,255,86
5061,1014000,3,-44,255,86
5162,1014000,3,-44,255,86
5262,1482000,3,-44,255,86
5362,902000,3,-44,255,86
5463,1248000,3,-44,255,86
5563,1248000,3,-44,255,86
5664,757000,3,-44,255,86
5765,902000,3,-44,255,86
5866,1248000,3,-44,255,86
5967,546000,3,-44,255,86
6067,1248000,3,-44,255,86
6168,1014000,3,-44,255,86
6272,1352000,3,-44,255,86
6372,1586000,3,-44,255,86
6472,1586000,3,-44,255,86
6573,1586000,3,-44,255,86
6674,1586000,3,-44,255,86
6774,1586000,3,-44,255,86
6876,1586000,3,-44,255,86
6975,1586000,3,-44,255,86
7075,1586000,3,-44,255,86
7176,1586000,3,-44,255,86
7276,1586000,3,-44,255,86
7377,1586000,3,-44,255,86
7477,1586000,3,-44,255,86
7578,1586000,3,-44,255,86
7678,1586000,3,-44,255,86
7779,1482000,3,-44,255,86
7879,1482000,3,-44,255,86
7979,1482000,3,-44,255,86
8080,1482000,3,-44,255,86
8180,1482000,3,-44,255,86
8281,546000,3,-44,255,86
8383,1248000,3,-44,255,86
8484,1352000,3,-44,255,86
8586,1248000,3,-44,255,86
8687,546000,3,-44,255,86
8787,757000,3,-44,255,86
8888,546000,3,-44,255,86
8990,546000,3,-44,255,86
9092,546000,3,-44,255,86
9191,902000,3,-44,255,86
9291,1014000,3,-44,255,86
9393,1586000,3,-44,255,86
9493,1586000,3,-44,255,86
9595,546000,3,-44,255,86
9695,902000,3,-44,255,86
9795,676000,3,-44,255,86
9896,902000,3,-44,255,86
9996,1144000,3,-44,255,86
