QoS_bandwidth,QoS_delay,QoS_jitter,V_content,V_complexity-class,QoA_resolution,QoA-bitrate,QoA-frame_rate,QoD-cpu_mhz-avg,QoD_cpu-nbr,QoD-cpu_core-nbr,QoD_screen-resolotion,QoD_screen-mhz,QoD-ram_clock-speed,QoD_ram-size,MOS
1024,0.36,0.043,1,0,144,79,10.66666667,697.6505015,4,2,1366 x 768,76.5,1333,4096,1
1024,0.435,0.071,1,0,144,79,10.66666667,894.924095,8,4,1920 x 1200,154,1600,4096,1
1024,0.403,0.033,1,0,144,79,10.66666667,833.1971592,4,2,1366 x 768,76.5,1333,4096,1
1024,0.499,0.018,1,0,144,79,10.66666667,586.7235663,4,2,1366 x 768,76.5,1333,4096,1
1024,0.472,0.034,1,0,144,79,10.66666667,820.8307595,4,2,1366 x 768,76.5,1333,4096,1
1024,0.334,0.028,1,0,144,79,10.66666667,848.9995419,8,4,1920 x 1200,154,1600,4096,1
1024,0.348,0.043,1,0,144,79,10.66666667,848.9995419,8,4,1920 x 1200,154,1600,4096,1
1536,0.289,0.037,1,0,144,79,11.4,0,2,1,1024 x 600,58.8,533,1024,1
1536,0.439,0.036,1,0,144,79,10.66666667,561.5851463,4,2,1366 x 768,76.5,1333,4096,1
1536,0.486,0.078,1,0,144,79,10.66666667,748.7472171,8,4,1920 x 1200,154,1600,4096,1
1536,0.354,0.065,1,0,144,84,10.66666667,848.9995419,8,4,1920 x 1200,154,1600,4096,1
1024,0.48,0.065,2,2,240,85,1.466666667,894.924095,8,4,1920 x 1200,154,1600,4096,1
1536,0.395,0.07,2,2,144,86,11.4,0,2,1,1024 x 600,58.8,533,1024,1
1536,0.432,0.046,1,0,144,93,10.8,0,2,1,1024 x 600,58.8,533,1024,1
1536,0.483,0.064,1,0,144,104,10.66666667,848.9995419,8,4,1920 x 1200,154,1600,4096,2
2048,0.45,0.033,1,0,240,263,34,125.8650071,2,1,1024 x 600,58.8,533,1024,2
1536,0.487,0.036,1,0,240,315,29.93333333,784.6932089,4,2,1366 x 768,76.5,1333,4096,2
2048,0.31,0.048,1,0,240,331,32.5,111.0025025,2,1,1024 x 600,58.8,533,1024,2
2048,0.304,0.043,1,0,240,372,32,801.8590899,4,2,1366 x 768,76.5,1333,4096,2
1024,0.41,0.053,1,0,240,377,32,801.8590899,4,2,1366 x 768,76.5,1333,4096,3
2048,0.332,0.032,1,0,240,377,31.93333333,894.924095,8,4,1920 x 1200,154,1600,4096,3
2048,0.487,0.042,1,0,240,377,31.93333333,565.9996946,8,4,1920 x 1200,154,1600,4096,3
2048,0.324,0.041,1,0,240,388,32.66666667,132.6733667,2,1,1024 x 600,58.8,533,1024,2
2048,0.403,0.06,1,0,240,388,32,534.5727266,4,2,1366 x 768,76.5,1333,4096,3
2048,0.487,0.062,1,0,240,389,31.93333333,748.7472171,8,4,1920 x 1200,154,1600,4096,3
2048,0.48,0.048,1,0,240,396,31.93333333,748.7472171,8,4,1920 x 1200,154,1600,4096,2
2048,0.407,0.061,1,0,240,396,32,769.2133066,4,2,1366 x 768,76.5,1333,4096,3
2048,0.334,0.028,1,0,240,396,31.93333333,848.9995419,8,4,1920 x 1200,154,1600,4096,3
2048,0.435,0.093,1,0,240,476,32.4,0,2,1,1024 x 600,58.8,533,1024,3
2048,0.386,0.052,2,2,240,529,32,0,8,4,1920 x 1200,154,1600,4096,3
3072,0.454,0.051,1,0,360,564,31.66666667,565.9996946,8,4,1920 x 1200,154,1600,4096,4
2048,0.335,0.036,2,2,240,571,32,111.0025025,2,1,1024 x 600,58.8,533,1024,3
1024,0.393,0.026,1,0,360,607,31.8,707.1732461,4,2,1366 x 768,76.5,1333,4096,4
2048,0.444,0.084,2,2,240,619,32.5,1024.528883,8,3,1920 x 1200,154,1600,4096,3
3072,0.324,0.032,1,0,360,626,34.13333333,565.9996946,8,4,1920 x 1200,154,1600,4096,4
1024,0.426,0.049,2,2,240,671,32,534.5727266,4,2,1366 x 768,76.5,1333,4096,3
2560,0.302,0.054,2,2,240,689,14.58333333,83.9100047,2,1,1024 x 600,58.8,533,1024,3
2560,0.415,0.054,2,2,360,711,25.26666667,221.4601935,4,2,1366 x 768,76.5,1333,4096,4
2048,0.489,0.072,1,0,240,732,22.46666667,848.9995419,8,4,1920 x 1200,154,1600,4096,3
3072,0.273,0.023,1,0,240,736,33.06666667,178,2,1,1024 x 600,58.8,533,1024,3
2048,0.304,0.043,1,0,360,752,30.6,833.1971592,4,2,1366 x 768,76.5,1333,4096,4
3584,0.49,0.054,1,0,480,754,31.66666667,748.7472171,8,4,1920 x 1200,154,1600,4096,4
1024,0.286,0.048,2,2,240,770,26.26666667,0,2,1,1024 x 600,58.8,533,1024,3
3584,0.439,0.036,2,2,480,785,32,801.8590899,4,2,1366 x 768,76.5,1333,4096,5
2560,0.395,0.07,1,0,480,795,36.8,83.9100047,2,1,1024 x 600,58.8,533,1024,4
3584,0.358,0.045,1,0,480,808,31.86666667,132.6733667,2,1,1024 x 600,58.8,533,1024,5
3072,0.424,0.05,2,2,360,845,31.08333333,801.8590899,4,2,1366 x 768,76.5,1333,4096,5
3584,0.307,0.049,1,0,480,859,32.13333333,707.1732461,4,2,1366 x 768,76.5,1333,4096,4
3072,0.447,0.056,2,2,480,924,31.73333333,0,8,4,1920 x 1200,154,1600,4096,4
3072,0.334,0.065,2,2,360,968,31.73333333,748.7472171,8,4,1920 x 1200,154,1600,4096,5
3584,0.285,0.054,2,2,480,968,31.66666667,748.7472171,8,4,1920 x 1200,154,1600,4096,4
4096,0.328,0.039,1,0,720,1660,32,744.4744604,4,2,1366 x 768,76.5,1333,4096,5
4608,0.444,0.049,1,0,1080,1799,30,572.8035235,4,2,1366 x 768,76.5,1333,4096,5
3584,0.379,0.073,1,0,720,2209,32,565.9996946,8,4,1920 x 1200,154,1600,4096,5
4096,0.455,0.033,2,2,1080,3498,32,0,8,4,1920 x 1200,154,1600,4096,5
1536,0.48,0.065,1,0,144,101.2,10.66666667,894.924095,8,4,1920 x 1200,154,1600,4096,1
3072,0.358,0.045,1,0,240,1012.6,32.2,0,2,1,1024 x 600,58.8,533,1024,3
1024,0.295,0.047,2,2,144,102.4,11.4,0,2,1,1024 x 600,58.8,533,1024,2
1536,0.393,0.054,1,0,144,102.4,11.86666667,0,2,1,1024 x 600,58.8,533,1024,2
1536,0.395,0.07,1,0,144,103.2,11.93333333,0,2,1,1024 x 600,58.8,533,1024,2
3072,0.33,0.052,1,0,360,1032.6,34.8,178,2,1,1024 x 600,58.8,533,1024,5
1024,0.394,0.045,2,2,144,104.6,10.66666667,801.8590899,4,2,1366 x 768,76.5,1333,4096,2
3072,0.49,0.054,1,0,360,1045.6,31.73333333,894.924095,8,4,1920 x 1200,154,1600,4096,4
3072,0.465,0.032,1,0,360,1045.6,31.73333333,748.7472171,8,4,1920 x 1200,154,1600,4096,4
3072,0.456,0.042,1,0,360,1045.6,35.06666667,0,2,1,1024 x 600,58.8,533,1024,5
3584,0.495,0.043,1,0,480,1045.6,31.73333333,748.7472171,8,4,1920 x 1200,154,1600,4096,5
1536,0.502,0.063,2,2,144,105.4,10.66666667,848.9995419,8,4,1920 x 1200,154,1600,4096,1
3072,0.346,0.096,1,0,360,1051.4,32.2,695.132992,4,2,1366 x 768,76.5,1333,4096,4
1536,0.341,0.044,2,2,144,107.2,10.66666667,748.7472171,8,4,1920 x 1200,154,1600,4096,2
1024,0.497,0.045,2,2,144,107.8,10.66666667,801.8590899,4,2,1366 x 768,76.5,1333,4096,2
2560,0.489,0.082,1,0,480,1083.6,31.26666667,894.924095,8,4,1920 x 1200,154,1600,4096,4
3584,0.411,0.032,1,0,480,1102.6,32.13333333,534.5727266,4,2,1366 x 768,76.5,1333,4096,4
1536,0.407,0.063,1,0,144,113.8,10.66666667,0,4,2,1366 x 768,76.5,1333,4096,2
3584,0.435,0.071,1,0,1080,1130.6,22.13333333,565.9996946,8,4,1920 x 1200,154,1600,4096,4
1024,0.292,0.047,1,0,144,121.6,11.4,0,2,1,1024 x 600,58.8,533,1024,2
3584,0.514,0.068,1,0,720,1261.75,25,565.9996946,8,4,1920 x 1200,154,1600,4096,4
3584,0.502,0.058,1,0,720,1312.2,26.6,848.9995419,8,4,1920 x 1200,154,1600,4096,4
3072,0.379,0.058,1,0,720,1340.6,24.93333333,748.7472171,8,4,1920 x 1200,154,1600,4096,5
3072,0.379,0.058,1,0,720,1437.6,24.93333333,565.9996946,8,4,1920 x 1200,154,1600,4096,4
3584,0.322,0.055,1,0,720,1590.8,32.13333333,639.8496544,8,4,1920 x 1200,154,1600,4096,5
4096,0.346,0.096,1,0,720,1657.8,31.86666667,644.4636779,4,2,1366 x 768,76.5,1333,4096,5
3584,0.319,0.05,1,0,480,1678.4,31.6,0,2,1,1024 x 600,58.8,533,1024,5
4096,0.39,0.059,1,0,720,1683.4,32,692.258961,4,2,1366 x 768,76.5,1333,4096,5
4096,0.465,0.032,1,0,720,1742.2,29.86666667,743.4488699,8,4,1920 x 1200,154,1600,4096,5
2048,0.39,0.059,1,0,240,1756.6,32.13333333,0,4,2,1366 x 768,76.5,1333,4096,3
4096,0.376,0.046,1,0,720,1776.2,31.93333333,534.5727266,4,2,1366 x 768,76.5,1333,4096,5
4096,0.465,0.071,1,0,1080,1799.2,32.06666667,748.7175373,8,4,1920 x 1200,154,1600,4096,5
4096,0.477,0.05,1,0,1080,1799.4,32.13333333,894.924095,8,4,1920 x 1200,154,1600,4096,5
4096,0.344,0.049,1,0,720,1819.6,31.86666667,848.9995419,8,4,1920 x 1200,154,1600,4096,5
4096,0.496,0.116,1,0,1080,1828.2,29.93333333,748.7472171,8,4,1920 x 1200,154,1600,4096,5
3584,0.33,0.027,1,0,720,1851.8,32.06666667,894.924095,8,4,1920 x 1200,154,1600,4096,5
3072,0.487,0.042,1,0,720,1856.2,25.6,735.424745,8,4,1920 x 1200,154,1600,4096,3
3584,0.392,0.045,1,0,720,1879.5,31.83333333,0,4,2,1366 x 768,76.5,1333,4096,5
4096,0.455,0.033,1,0,720,1987.2,31.93333333,748.7472171,8,4,1920 x 1200,154,1600,4096,5
4608,0.495,0.043,1,0,1080,1987.2,31.86666667,848.9995419,8,4,1920 x 1200,154,1600,4096,5
4096,0.465,0.071,1,0,1080,2017.4,30,848.9995419,8,4,1920 x 1200,154,1600,4096,5
4096,0.455,0.033,1,0,1080,2017.4,32.06666667,848.9995419,8,4,1920 x 1200,154,1600,4096,5
3584,0.333,0.034,1,0,720,2020.8,36.06666667,0,2,1,1024 x 600,58.8,533,1024,5
