Time,CPU Frequency,CPU Load,Memory Usage,Wi-Fi RSSI Level,Quality,Screen Bright,Battery,Download,Upload
0,1144000,44,1824244,-61,360,3,79,456,17
10,1586000,44,1812244,-67,360,3,79,456,17
20,1586000,44,1828204,-63,360,3,79,456,17
30,1586000,44,1794804,-63,360,3,79,456,17
40,1586000,44,1816568,-65,360,3,79,456,17
50,1586000,44,1781596,-60,360,3,79,456,17
60,1144000,44,1823864,-60,360,3,79,456,17
70,1586000,44,1806756,-60,360,3,79,456,17
80,839000,44,1821872,-65,360,3,79,456,17
90,1586000,44,1805176,-59,360,3,79,456,17
100,1586000,44,1822904,-59,360,3,79,456,17
110,1586000,44,1810224,-65,360,3,79,456,17
120,1586000,44,1790844,-63,360,3,79,456,17
130,1586000,44,1818592,-63,360,3,79,456,17
140,1586000,44,1843640,-66,360,3,79,456,17
150,902000,44,1816888,-61,360,3,79,456,17
160,1586000,44,1825108,-61,360,3,79,456,17
170,1586000,44,1824324,-61,360,3,79,456,17
180,1586000,44,1775696,-71,360,3,79,456,17
190,1586000,44,1803452,-62,360,3,79,456,17
200,1586000,44,1794920,-66,360,3,79,456,17
210,1586000,44,1824520,-59,360,3,79,456,17
220,1586000,44,1811024,-59,360,3,79,456,17
230,1586000,44,1816344,-59,360,3,79,456,17
240,1586000,44,1790760,-59,360,3,78,456,17
250,1586000,44,1808476,-64,360,3,78,456,17
260,1586000,44,1817076,-61,360,3,78,456,17
270,1586000,44,1810524,-61,360,3,78,456,17
280,1248000,44,1824372,-64,360,3,78,456,17
290,1586000,44,1776328,-63,360,3,78,456,17
300,1586000,44,1788184,-63,360,3,78,456,17
310,1586000,44,1823772,-63,360,3,78,456,17
320,1586000,44,1824416,-63,360,3,78,456,17
330,1586000,44,1789292,-63,360,3,78,456,17
340,1586000,44,1818152,-63,360,3,78,456,17
350,1586000,44,1825828,-63,360,3,78,456,17
360,1586000,44,1823748,-64,360,3,78,456,17
370,1586000,44,1817264,-63,360,3,78,456,17
380,1586000,44,1804912,-65,360,3,78,456,17
390,1586000,44,1818348,-59,360,3,78,456,17
400,1586000,44,1766668,-59,360,3,78,456,17
410,1586000,44,1793616,-59,360,3,78,456,17
420,1586000,44,1800960,-64,360,3,78,456,17
